0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:34 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:38 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
