0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /TixToGo/img/bg4.jpeg HTTP/1.1" 200 297175
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 200 12944
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /TixToGo/img/arrow-right.cur HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /TixToGo/img/arrow-left.png HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /TixToGo/img/arrow-left.cur HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /TixToGo/img/arrow-right.png HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:22 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:27 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
