127.0.0.1 - - [04/Apr/2017:22:05:30 +0800] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:37 +0800] "GET /TixToGo/HomePage.jsp HTTP/1.1" 200 10802
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:37 +0800] "GET /TixToGo/cssjsCUSTOMER/css/bootstrap.css HTTP/1.1" 200 166193
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:37 +0800] "GET /TixToGo/cssjsCUSTOMER/css/material-kit.css HTTP/1.1" 200 150023
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/cssjsCUSTOMER/js/jquery.min.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/cssjsCUSTOMER/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/cssjsCUSTOMER/js/material.min.js HTTP/1.1" 200 9099
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/cssjsCUSTOMER/js/nouislider.min.js HTTP/1.1" 200 12913
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/cssjsCUSTOMER/js/material-kit.js HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/cssjsCUSTOMER/js/bootstrap-datepicker.js HTTP/1.1" 200 14137
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/img/lumos2.png HTTP/1.1" 200 26144
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/img/movieposters/byb.jpg HTTP/1.1" 200 168559
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [04/Apr/2017:22:05:38 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1034
