0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/img/movieposters/byb.jpg HTTP/1.1" 200 168559
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/img/banner3-01-01.png HTTP/1.1" 200 2549653
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:42 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:43 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:43 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:43 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:43 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:43 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/HomePage.jsp HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:47 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
